,trial,score_dif,userid,gridtype,gridnum
86405,6,1.0,109,Switch,202
86543,7,1.0,117,Switch,201
86777,5,1.0,113,Switch,201
86783,7,1.0,109,Switch,201
87017,8,1.0,117,Switch,207
87035,7,1.0,124,Switch,203
87154,2,1.0,137,Switch,202
87377,8,1.0,114,Switch,202
87557,7,1.0,135,Switch,208
87563,3,1.0,130,Switch,205
87815,8,1.0,57,Switch,202
87851,3,1.0,138,Switch,204
87893,4,1.0,96,Switch,201
88037,6,1.0,91,Switch,202
88115,5,1.0,133,Switch,202
88163,7,1.0,122,Switch,205
88193,1,1.0,118,Switch,204
88229,7,1.0,128,Switch,206
88379,3,1.0,137,Switch,206
88493,8,1.0,124,Switch,208
88553,5,1.0,98,Switch,208
88673,6,1.0,111,Switch,205
88691,4,1.0,137,Switch,205
88715,8,1.0,135,Switch,206
88721,8,1.0,122,Switch,203
88757,4,1.0,130,Switch,202
88865,6,1.0,113,Switch,207
88871,7,1.0,91,Switch,205
89135,7,0.0,105,Switch,208
89159,8,1.0,91,Switch,207
89225,7,0.0,111,Switch,208
89375,6,1.0,120,Switch,201
89393,7,0.0,113,Switch,208
89501,8,0.0,111,Switch,202
89639,8,1.0,113,Switch,202
89651,7,1.0,120,Switch,206
89735,6,1.0,98,Switch,202
89759,8,1.0,128,Switch,203
90023,8,1.0,105,Switch,204
90203,1,1.0,126,Switch,205
90215,2,1.0,118,Switch,208
90239,8,1.0,120,Switch,203
90371,5,1.0,137,Switch,203
90419,5,1.0,130,Switch,208
90593,4,1.0,138,Switch,203
90605,7,1.0,121,Switch,206
90659,8,0.0,109,Switch,208
90833,5,1.0,96,Switch,204
90929,7,1.0,98,Switch,207
91043,5,1.0,138,Switch,202
91097,6,1.0,133,Switch,203
91157,1,1.0,50,Switch,203
91367,2,1.0,126,Switch,203
91391,6,1.0,137,Switch,204
91499,1,1.0,148,Switch,201
91637,8,1.0,98,Switch,205
91667,6,1.0,130,Switch,204
91745,3,1.0,89,Switch,204
91859,7,1.0,72,Switch,203
92009,4,1.0,89,Switch,208
92021,6,0.0,96,Switch,207
92087,8,1.0,72,Switch,202
92093,3,1.0,118,Switch,206
92279,1,1.0,90,Switch,203
92291,8,1.0,121,Switch,203
92333,7,1.0,130,Switch,203
92357,3,1.0,126,Switch,204
92441,2,1.0,148,Switch,203
92465,6,1.0,138,Switch,206
92579,4,1.0,126,Switch,206
92597,7,1.0,96,Switch,205
92609,7,0.0,137,Switch,208
92735,5,1.0,89,Switch,201
93011,1,1.0,145,Switch,203
93101,8,1.0,96,Switch,202
93143,4,1.0,118,Switch,202
93191,7,1.0,138,Switch,201
93425,2,0.0,145,Switch,208
93617,1,1.0,142,Switch,203
93641,8,1.0,138,Switch,207
93929,1,1.0,143,Switch,205
94049,5,1.0,118,Switch,203
94157,6,1.0,89,Switch,203
94283,7,1.0,133,Switch,208
94433,2,1.0,142,Switch,201
94727,8,1.0,137,Switch,207
94739,3,1.0,145,Switch,204
94835,6,1.0,118,Switch,201
94895,3,1.0,148,Switch,207
94919,3,1.0,142,Switch,208
94955,2,0.0,143,Switch,206
95003,4,1.0,145,Switch,205
95033,8,0.0,133,Switch,207
95075,2,1.0,50,Switch,204
95243,5,1.0,145,Switch,206
95267,3,0.0,143,Switch,203
95375,4,1.0,148,Switch,206
95549,2,1.0,90,Switch,201
95573,5,1.0,148,Switch,208
95579,1,1.0,71,Switch,207
95831,5,1.0,126,Switch,208
95885,4,1.0,143,Switch,207
95999,2,1.0,71,Switch,201
96173,6,1.0,126,Switch,201
96191,6,1.0,145,Switch,201
96203,7,1.0,89,Switch,205
96305,3,1.0,90,Switch,206
96389,5,1.0,143,Switch,202
