,trial,score_dif,userid,gridtype,gridnum
92339,7,1.0,96,Push,102
92381,6,1.0,137,Push,108
92399,1,1.0,145,Push,103
92555,2,1.0,145,Push,104
92723,7,1.0,138,Push,104
92873,8,1.0,96,Push,101
93053,7,1.0,137,Push,102
93503,5,0.0,89,Push,108
93527,8,1.0,133,Push,107
93623,5,1.0,118,Push,102
93635,3,1.0,145,Push,102
93773,2,1.0,148,Push,105
93959,2,1.0,50,Push,105
94103,8,1.0,138,Push,101
94151,3,1.0,130,Push,107
94487,3,0.0,90,Push,103
95039,6,1.0,89,Push,106
95129,2,1.0,126,Push,105
95207,1,0.0,142,Push,101
95219,4,0.0,90,Push,107
95230,8,1.0,137,Push,107
95363,1,0.0,71,Push,103
95465,4,1.0,130,Push,103
95513,6,0.0,118,Push,107
95609,7,0.0,89,Push,105
95633,3,1.0,126,Push,102
95849,3,0.0,148,Push,106
95951,2,0.0,142,Push,106
96029,4,0.0,148,Push,102
96053,5,1.0,130,Push,101
96095,3,1.0,50,Push,106
96227,1,0.0,144,Push,107
96239,2,0.0,71,Push,106
96287,3,0.0,142,Push,105
96455,8,0.0,89,Push,107
96575,6,1.0,130,Push,102
96641,1,0.0,143,Push,103
96761,2,0.0,144,Push,101
96767,1,0.0,146,Push,108
96791,4,0.0,142,Push,107
96875,3,0.0,71,Push,107
96953,5,1.0,148,Push,101
97037,4,1.0,126,Push,108
97361,6,1.0,148,Push,107
97457,4,1.0,145,Push,105
97475,2,0.0,143,Push,101
97487,5,0.0,90,Push,104
97595,4,1.0,71,Push,104
97607,5,1.0,126,Push,106
97679,4,1.0,50,Push,102
97853,3,1.0,143,Push,104
97949,7,1.0,118,Push,106
98135,1,1.0,159,Push,107
98153,5,0.0,71,Push,108
98183,7,1.0,130,Push,104
98195,1,0.0,155,Push,104
98201,3,0.0,144,Push,102
98279,5,0.0,142,Push,102
98351,8,1.0,118,Push,101
98627,2,1.0,146,Push,106
98717,1,1.0,150,Push,104
98825,4,1.0,143,Push,108
98837,5,1.0,50,Push,104
98843,2,1.0,159,Push,106
98891,6,0.0,90,Push,106
98969,6,1.0,126,Push,101
99119,5,0.0,143,Push,102
99149,2,0.0,155,Push,105
99221,5,1.0,145,Push,107
99233,6,0.0,142,Push,108
99365,6,1.0,145,Push,101
99389,7,1.0,126,Push,104
99437,7,1.0,148,Push,108
99455,2,0.0,150,Push,108
99497,7,1.0,145,Push,106
99509,6,1.0,71,Push,101
99557,8,1.0,148,Push,104
